time,open,high,low,close,volume
2026-01-04 11:58:00,134.43,134.47,134.4,134.43,2350.173
2026-01-04 11:59:00,134.42,134.43,134.34,134.39,3301.659
2026-01-04 12:00:00,134.39,134.39,134.34,134.38,1180.928
2026-01-04 12:01:00,134.38,134.54,134.37,134.47,1437.577
2026-01-04 12:02:00,134.48,134.48,134.38,134.38,365.806
2026-01-04 12:03:00,134.39,134.45,134.38,134.45,128.912
2026-01-04 12:04:00,134.46,134.5,134.46,134.48,1760.62
2026-01-04 12:05:00,134.49,134.49,134.4,134.4,255.997
2026-01-04 12:06:00,134.4,134.44,134.4,134.43,117.018
2026-01-04 12:07:00,134.43,134.51,134.31,134.32,3947.507
2026-01-04 12:08:00,134.32,134.35,134.28,134.32,2906.891
2026-01-04 12:09:00,134.32,134.34,134.27,134.27,1431.156
2026-01-04 12:10:00,134.28,134.32,134.2,134.31,574.644
2026-01-04 12:11:00,134.3,134.34,134.3,134.3,549.831
2026-01-04 12:12:00,134.3,134.38,134.3,134.36,727.329
2026-01-04 12:13:00,134.35,134.36,134.34,134.36,158.332
2026-01-04 12:14:00,134.35,134.44,134.35,134.42,728.69
2026-01-04 12:15:00,134.43,134.43,134.36,134.39,269.508
2026-01-04 12:16:00,134.4,134.47,134.38,134.41,1051.216
2026-01-04 12:17:00,134.41,134.5,134.41,134.48,401.161
2026-01-04 12:18:00,134.49,134.49,134.45,134.48,396.963
2026-01-04 12:19:00,134.48,134.62,134.47,134.59,15086.799
2026-01-04 12:20:00,134.59,134.69,134.58,134.64,439.362
2026-01-04 12:21:00,134.65,134.73,134.63,134.7,1963.717
2026-01-04 12:22:00,134.7,134.71,134.6,134.61,767.826
2026-01-04 12:23:00,134.61,134.76,134.58,134.76,649.579
2026-01-04 12:24:00,134.76,134.76,134.66,134.72,679.915
2026-01-04 12:25:00,134.72,134.79,134.72,134.78,1473.854
2026-01-04 12:26:00,134.79,134.8,134.75,134.78,1331.676
2026-01-04 12:27:00,134.79,134.85,134.77,134.84,3572.241
2026-01-04 12:28:00,134.83,134.85,134.79,134.79,541.221
2026-01-04 12:29:00,134.8,134.8,134.73,134.76,838.837
2026-01-04 12:30:00,134.75,134.75,134.66,134.74,1161.776
2026-01-04 12:31:00,134.74,134.9,134.74,134.9,1991.63
2026-01-04 12:32:00,134.89,134.9,134.8,134.82,1187.161
2026-01-04 12:33:00,134.82,134.84,134.71,134.71,1885.134
2026-01-04 12:34:00,134.71,134.72,134.61,134.65,2376.093
2026-01-04 12:35:00,134.65,134.65,134.44,134.45,1867.665
